product_name,craft_cluster,retail_price_inr,source,matched_seasonal_cluster,matching_confidence,seasonal_monthly_curve
Handcrafted Aipan Art  Baba Khatu Shyam Painting 1818,GI Tagged Dokra & Metalcraft,5500.0,IndiaHandmade (Govt of India),Terracotta & Pottery,0.387,"{'1': 0.629, '2': 0.995, '3': 1.231, '4': 1.261, '5': 1.078, '6': 1.081, '7': 1.134, '8': 1.036, '9': 0.746, '10': 0.99, '11': 1.053, '12': 0.769}"
Handcrafted Aipan Art Baba Neem Karori Painting 1818,GI Tagged Dokra & Metalcraft,5500.0,IndiaHandmade (Govt of India),Bamboo & Cane Craft,0.415,"{'1': 1.126, '2': 1.168, '3': 1.038, '4': 0.737, '5': 1.004, '6': 1.248, '7': 0.942, '8': 1.001, '9': 0.963, '10': 0.771, '11': 0.802, '12': 1.203}"
Handcrafted Aipan Art Baba Kedarnath Temple GMR1818,GI Tagged Dokra & Metalcraft,7000.0,IndiaHandmade (Govt of India),Bamboo & Cane Craft,0.404,"{'1': 1.126, '2': 1.168, '3': 1.038, '4': 0.737, '5': 1.004, '6': 1.248, '7': 0.942, '8': 1.001, '9': 0.963, '10': 0.771, '11': 0.802, '12': 1.203}"
Handcrafted Aipan Art Laxmi Aipan GMR 1818,GI Tagged Dokra & Metalcraft,5000.0,IndiaHandmade (Govt of India),Terracotta & Pottery,0.408,"{'1': 0.629, '2': 0.995, '3': 1.231, '4': 1.261, '5': 1.078, '6': 1.081, '7': 1.134, '8': 1.036, '9': 0.746, '10': 0.99, '11': 1.053, '12': 0.769}"
Handcrafted Aipan Art Ganesh Aipan GMR1818,GI Tagged Dokra & Metalcraft,5000.0,IndiaHandmade (Govt of India),Bamboo & Cane Craft,0.381,"{'1': 1.126, '2': 1.168, '3': 1.038, '4': 0.737, '5': 1.004, '6': 1.248, '7': 0.942, '8': 1.001, '9': 0.963, '10': 0.771, '11': 0.802, '12': 1.203}"
Handcrafted Aipan Art Laxmi Aipan GMR1212,GI Tagged Dokra & Metalcraft,2000.0,IndiaHandmade (Govt of India),Bamboo & Cane Craft,0.374,"{'1': 1.126, '2': 1.168, '3': 1.038, '4': 0.737, '5': 1.004, '6': 1.248, '7': 0.942, '8': 1.001, '9': 0.963, '10': 0.771, '11': 0.802, '12': 1.203}"
Handcrafted Aipan Art Ganesh Aipan GMR1212,GI Tagged Dokra & Metalcraft,2000.0,IndiaHandmade (Govt of India),Bamboo & Cane Craft,0.377,"{'1': 1.126, '2': 1.168, '3': 1.038, '4': 0.737, '5': 1.004, '6': 1.248, '7': 0.942, '8': 1.001, '9': 0.963, '10': 0.771, '11': 0.802, '12': 1.203}"
Handcrafted Aipan Art Laxmi Aipan GMR66,GI Tagged Dokra & Metalcraft,800.0,IndiaHandmade (Govt of India),Bamboo & Cane Craft,0.37,"{'1': 1.126, '2': 1.168, '3': 1.038, '4': 0.737, '5': 1.004, '6': 1.248, '7': 0.942, '8': 1.001, '9': 0.963, '10': 0.771, '11': 0.802, '12': 1.203}"
Handcrafted Aipan Art Ganesh Aipan GMR,GI Tagged Dokra & Metalcraft,800.0,IndiaHandmade (Govt of India),Bamboo & Cane Craft,0.352,"{'1': 1.126, '2': 1.168, '3': 1.038, '4': 0.737, '5': 1.004, '6': 1.248, '7': 0.942, '8': 1.001, '9': 0.963, '10': 0.771, '11': 0.802, '12': 1.203}"
Handcrafted Aipan Art Ganesh Pith 66,GI Tagged Dokra & Metalcraft,500.0,IndiaHandmade (Govt of India),Bamboo & Cane Craft,0.362,"{'1': 1.126, '2': 1.168, '3': 1.038, '4': 0.737, '5': 1.004, '6': 1.248, '7': 0.942, '8': 1.001, '9': 0.963, '10': 0.771, '11': 0.802, '12': 1.203}"
Handcrafted Aipan Art Laxmi Pith 1212,GI Tagged Dokra & Metalcraft,1500.0,IndiaHandmade (Govt of India),Terracotta & Pottery,0.394,"{'1': 0.629, '2': 0.995, '3': 1.231, '4': 1.261, '5': 1.078, '6': 1.081, '7': 1.134, '8': 1.036, '9': 0.746, '10': 0.99, '11': 1.053, '12': 0.769}"
Handcrafted Aipan Art Ganesh Pith 1212,GI Tagged Dokra & Metalcraft,1500.0,IndiaHandmade (Govt of India),Terracotta & Pottery,0.406,"{'1': 0.629, '2': 0.995, '3': 1.231, '4': 1.261, '5': 1.078, '6': 1.081, '7': 1.134, '8': 1.036, '9': 0.746, '10': 0.99, '11': 1.053, '12': 0.769}"
Handcrafted Aipan Art Laxmi Pith 1818,GI Tagged Dokra & Metalcraft,4000.0,IndiaHandmade (Govt of India),Terracotta & Pottery,0.414,"{'1': 0.629, '2': 0.995, '3': 1.231, '4': 1.261, '5': 1.078, '6': 1.081, '7': 1.134, '8': 1.036, '9': 0.746, '10': 0.99, '11': 1.053, '12': 0.769}"
Handcrafted Aipan Art Ganesh Pith Aipan,GI Tagged Dokra & Metalcraft,4000.0,IndiaHandmade (Govt of India),Terracotta & Pottery,0.397,"{'1': 0.629, '2': 0.995, '3': 1.231, '4': 1.261, '5': 1.078, '6': 1.081, '7': 1.134, '8': 1.036, '9': 0.746, '10': 0.99, '11': 1.053, '12': 0.769}"
Handcrafted Aipan Art  Baba Neem Karori Painting 1818,GI Tagged Dokra & Metalcraft,5500.0,IndiaHandmade (Govt of India),Bamboo & Cane Craft,0.415,"{'1': 1.126, '2': 1.168, '3': 1.038, '4': 0.737, '5': 1.004, '6': 1.248, '7': 0.942, '8': 1.001, '9': 0.963, '10': 0.771, '11': 0.802, '12': 1.203}"
Handcrafted Aipan Art Cushion Covers | Set of 5 | Blue,GI Tagged Dokra & Metalcraft,4500.0,IndiaHandmade (Govt of India),Terracotta & Pottery,0.311,"{'1': 0.629, '2': 0.995, '3': 1.231, '4': 1.261, '5': 1.078, '6': 1.081, '7': 1.134, '8': 1.036, '9': 0.746, '10': 0.99, '11': 1.053, '12': 0.769}"
Handcrafted Aipan Art Cushion Covers | Set of 5,GI Tagged Dokra & Metalcraft,4500.0,IndiaHandmade (Govt of India),Terracotta & Pottery,0.288,"{'1': 0.629, '2': 0.995, '3': 1.231, '4': 1.261, '5': 1.078, '6': 1.081, '7': 1.134, '8': 1.036, '9': 0.746, '10': 0.99, '11': 1.053, '12': 0.769}"
Handcrafted Aipan Art  Laxmi Ganesh Aipan,GI Tagged Dokra & Metalcraft,9000.0,IndiaHandmade (Govt of India),Terracotta & Pottery,0.399,"{'1': 0.629, '2': 0.995, '3': 1.231, '4': 1.261, '5': 1.078, '6': 1.081, '7': 1.134, '8': 1.036, '9': 0.746, '10': 0.99, '11': 1.053, '12': 0.769}"
Handcrafted Aipan Art Ganesh Painting  AGPB,GI Tagged Dokra & Metalcraft,10000.0,IndiaHandmade (Govt of India),Bamboo & Cane Craft,0.386,"{'1': 1.126, '2': 1.168, '3': 1.038, '4': 0.737, '5': 1.004, '6': 1.248, '7': 0.942, '8': 1.001, '9': 0.963, '10': 0.771, '11': 0.802, '12': 1.203}"
Handcrafted Aipan Art Ganesh Painting,GI Tagged Dokra & Metalcraft,10000.0,IndiaHandmade (Govt of India),Terracotta & Pottery,0.406,"{'1': 0.629, '2': 0.995, '3': 1.231, '4': 1.261, '5': 1.078, '6': 1.081, '7': 1.134, '8': 1.036, '9': 0.746, '10': 0.99, '11': 1.053, '12': 0.769}"
Hand-Embroidered Pure Pashmina Neem Jamavar Shawl with Fine Sozni Work | Red,GI Tagged Dokra & Metalcraft,43500.0,IndiaHandmade (Govt of India),Handloom & Textiles,0.414,"{'1': 1.081, '2': 0.981, '3': 0.926, '4': 0.885, '5': 0.85, '6': 0.791, '7': 0.957, '8': 1.351, '9': 1.292, '10': 1.094, '11': 0.927, '12': 0.855}"
Dokra Root napkin ring - Home Decor - GI Certified Bengal Dokra,GI Tagged Dokra & Metalcraft,950.0,IndiaHandmade (Govt of India),GI Tagged Dokra & Metalcraft,0.338,"{'1': 0.904, '2': 0.916, '3': 0.891, '4': 0.862, '5': 0.859, '6': 0.858, '7': 0.947, '8': 1.417, '9': 1.202, '10': 1.238, '11': 1.023, '12': 0.864}"
God 5-inch Dancing Ganesh With Tabla - GI Certified Bengal Dokra,GI Tagged Dokra & Metalcraft,1750.0,IndiaHandmade (Govt of India),GI Tagged Dokra & Metalcraft,0.391,"{'1': 0.904, '2': 0.916, '3': 0.891, '4': 0.862, '5': 0.859, '6': 0.858, '7': 0.947, '8': 1.417, '9': 1.202, '10': 1.238, '11': 1.023, '12': 0.864}"
God 5-inch Dancing Ganesh With Esraj - GI Certified Bengal Dokra,GI Tagged Dokra & Metalcraft,1750.0,IndiaHandmade (Govt of India),GI Tagged Dokra & Metalcraft,0.396,"{'1': 0.904, '2': 0.916, '3': 0.891, '4': 0.862, '5': 0.859, '6': 0.858, '7': 0.947, '8': 1.417, '9': 1.202, '10': 1.238, '11': 1.023, '12': 0.864}"
Brass Goddess & God Radha Krishna Idol |  5.5*4.5 *9 Inches | Golden,GI Tagged Dokra & Metalcraft,27500.0,IndiaHandmade (Govt of India),Terracotta & Pottery,0.196,"{'1': 0.629, '2': 0.995, '3': 1.231, '4': 1.261, '5': 1.078, '6': 1.081, '7': 1.134, '8': 1.036, '9': 0.746, '10': 0.99, '11': 1.053, '12': 0.769}"
5 Boat diya - big - Home Decor - GI Certified Bengal Dokra,GI Tagged Dokra & Metalcraft,17500.0,IndiaHandmade (Govt of India),GI Tagged Dokra & Metalcraft,0.448,"{'1': 0.904, '2': 0.916, '3': 0.891, '4': 0.862, '5': 0.859, '6': 0.858, '7': 0.947, '8': 1.417, '9': 1.202, '10': 1.238, '11': 1.023, '12': 0.864}"
5 Boat diya - small - Home Decor - GI Certified Bengal Dokra,GI Tagged Dokra & Metalcraft,15500.0,IndiaHandmade (Govt of India),GI Tagged Dokra & Metalcraft,0.438,"{'1': 0.904, '2': 0.916, '3': 0.891, '4': 0.862, '5': 0.859, '6': 0.858, '7': 0.947, '8': 1.417, '9': 1.202, '10': 1.238, '11': 1.023, '12': 0.864}"
Dipa Rani 2 Diya Pot on Head on Elephant - GI Certified Bengal Dokra,GI Tagged Dokra & Metalcraft,2550.0,IndiaHandmade (Govt of India),GI Tagged Dokra & Metalcraft,0.328,"{'1': 0.904, '2': 0.916, '3': 0.891, '4': 0.862, '5': 0.859, '6': 0.858, '7': 0.947, '8': 1.417, '9': 1.202, '10': 1.238, '11': 1.023, '12': 0.864}"
Goddess KALI Idol 12 inch - GI Certified Bengal Dokra,GI Tagged Dokra & Metalcraft,9775.0,IndiaHandmade (Govt of India),GI Tagged Dokra & Metalcraft,0.393,"{'1': 0.904, '2': 0.916, '3': 0.891, '4': 0.862, '5': 0.859, '6': 0.858, '7': 0.947, '8': 1.417, '9': 1.202, '10': 1.238, '11': 1.023, '12': 0.864}"
Goddess KALI Idol 9 inch - GI Certified Bengal Dokra,GI Tagged Dokra & Metalcraft,3750.0,IndiaHandmade (Govt of India),GI Tagged Dokra & Metalcraft,0.396,"{'1': 0.904, '2': 0.916, '3': 0.891, '4': 0.862, '5': 0.859, '6': 0.858, '7': 0.947, '8': 1.417, '9': 1.202, '10': 1.238, '11': 1.023, '12': 0.864}"
Diya 4 inch - Puja Accessories - GI Certified Bengal Dokra,GI Tagged Dokra & Metalcraft,450.0,IndiaHandmade (Govt of India),GI Tagged Dokra & Metalcraft,0.419,"{'1': 0.904, '2': 0.916, '3': 0.891, '4': 0.862, '5': 0.859, '6': 0.858, '7': 0.947, '8': 1.417, '9': 1.202, '10': 1.238, '11': 1.023, '12': 0.864}"
Gaja Laxmi Diya - Puja Accessories - GI Certified Bengal Dokra,GI Tagged Dokra & Metalcraft,2150.0,IndiaHandmade (Govt of India),GI Tagged Dokra & Metalcraft,0.411,"{'1': 0.904, '2': 0.916, '3': 0.891, '4': 0.862, '5': 0.859, '6': 0.858, '7': 0.947, '8': 1.417, '9': 1.202, '10': 1.238, '11': 1.023, '12': 0.864}"
Ashvamedha: A Mysore Royal Heritage Painting,GI Tagged Dokra & Metalcraft,3450.0,IndiaHandmade (Govt of India),Terracotta & Pottery,0.3,"{'1': 0.629, '2': 0.995, '3': 1.231, '4': 1.261, '5': 1.078, '6': 1.081, '7': 1.134, '8': 1.036, '9': 0.746, '10': 0.99, '11': 1.053, '12': 0.769}"
Cane & Bamboo Recliner Chair,GI Tagged Dokra & Metalcraft,4550.0,IndiaHandmade (Govt of India),Bamboo & Cane Craft,0.659,"{'1': 1.126, '2': 1.168, '3': 1.038, '4': 0.737, '5': 1.004, '6': 1.248, '7': 0.942, '8': 1.001, '9': 0.963, '10': 0.771, '11': 0.802, '12': 1.203}"
Bamboo & Cane Rattan Swing Chair without Cushion and Rope,GI Tagged Dokra & Metalcraft,4999.0,IndiaHandmade (Govt of India),Bamboo & Cane Craft,0.564,"{'1': 1.126, '2': 1.168, '3': 1.038, '4': 0.737, '5': 1.004, '6': 1.248, '7': 0.942, '8': 1.001, '9': 0.963, '10': 0.771, '11': 0.802, '12': 1.203}"
Cane Oval Shape Chair Without Cousin,GI Tagged Dokra & Metalcraft,5999.0,IndiaHandmade (Govt of India),Bamboo & Cane Craft,0.364,"{'1': 1.126, '2': 1.168, '3': 1.038, '4': 0.737, '5': 1.004, '6': 1.248, '7': 0.942, '8': 1.001, '9': 0.963, '10': 0.771, '11': 0.802, '12': 1.203}"
Cotton Mundu | White,GI Tagged Dokra & Metalcraft,600.0,IndiaHandmade (Govt of India),Handloom & Textiles,0.391,"{'1': 1.081, '2': 0.981, '3': 0.926, '4': 0.885, '5': 0.85, '6': 0.791, '7': 0.957, '8': 1.351, '9': 1.292, '10': 1.094, '11': 0.927, '12': 0.855}"
Handcrafted Terracotta Earthen Table Lamp,Terracotta & Pottery,2649.0,IndiaHandmade (Govt of India),Terracotta & Pottery,0.525,"{'1': 0.629, '2': 0.995, '3': 1.231, '4': 1.261, '5': 1.078, '6': 1.081, '7': 1.134, '8': 1.036, '9': 0.746, '10': 0.99, '11': 1.053, '12': 0.769}"
Earthen Handcrafted Table Lamp With Brown Shade,Terracotta & Pottery,1999.0,IndiaHandmade (Govt of India),Terracotta & Pottery,0.251,"{'1': 0.629, '2': 0.995, '3': 1.231, '4': 1.261, '5': 1.078, '6': 1.081, '7': 1.134, '8': 1.036, '9': 0.746, '10': 0.99, '11': 1.053, '12': 0.769}"
Flower-Shaped Rattan Pendant Hanging Lamp,Bamboo & Cane Craft,5999.0,IndiaHandmade (Govt of India),Bamboo & Cane Craft,0.272,"{'1': 1.126, '2': 1.168, '3': 1.038, '4': 0.737, '5': 1.004, '6': 1.248, '7': 0.942, '8': 1.001, '9': 0.963, '10': 0.771, '11': 0.802, '12': 1.203}"
Handcrafted Bamboo Pendant Light,Bamboo & Cane Craft,1999.0,IndiaHandmade (Govt of India),Bamboo & Cane Craft,0.59,"{'1': 1.126, '2': 1.168, '3': 1.038, '4': 0.737, '5': 1.004, '6': 1.248, '7': 0.942, '8': 1.001, '9': 0.963, '10': 0.771, '11': 0.802, '12': 1.203}"
Embellished Lamp With Dhokra Brass Tiles & Red Shade,GI Tagged Dokra & Metalcraft,3099.0,IndiaHandmade (Govt of India),Bamboo & Cane Craft,0.259,"{'1': 1.126, '2': 1.168, '3': 1.038, '4': 0.737, '5': 1.004, '6': 1.248, '7': 0.942, '8': 1.001, '9': 0.963, '10': 0.771, '11': 0.802, '12': 1.203}"
God 5-Inch Dancing Ganesh With Tabla - GI Certified Bengal Dokra,GI Tagged Dokra & Metalcraft,1750.0,IndiaHandmade (Govt of India),GI Tagged Dokra & Metalcraft,0.391,"{'1': 0.904, '2': 0.916, '3': 0.891, '4': 0.862, '5': 0.859, '6': 0.858, '7': 0.947, '8': 1.417, '9': 1.202, '10': 1.238, '11': 1.023, '12': 0.864}"
Handloom Printed Cotton Silk Saree,Handloom & Textiles,699.0,IndiaHandmade (Govt of India),Handloom & Textiles,0.69,"{'1': 1.081, '2': 0.981, '3': 0.926, '4': 0.885, '5': 0.85, '6': 0.791, '7': 0.957, '8': 1.351, '9': 1.292, '10': 1.094, '11': 0.927, '12': 0.855}"
Madhubani Handpainted Silk Saree With Blouse Piece,Handloom & Textiles,9499.0,IndiaHandmade (Govt of India),Handloom & Textiles,0.449,"{'1': 1.081, '2': 0.981, '3': 0.926, '4': 0.885, '5': 0.85, '6': 0.791, '7': 0.957, '8': 1.351, '9': 1.292, '10': 1.094, '11': 0.927, '12': 0.855}"
